number,name,region,latitude,longitude,company,start,end
A001,Montréal No 1,A-Basses-Terres (sols consolidés),45.278361,-74.011833,Parco Drilling and Exploration Ltd.,1954,1955
A002,Yamachiche No 1,A-Basses-Terres (sols consolidés),46.349472,-72.782056,Albert Bédard,1953,1954
A003,"Bald Mountain, Batiscan No 1",A-Basses-Terres (sols consolidés),46.472806,-72.265111,Bald Mountain Oil Co.,1956,1957
A003-R1,"Bald Mountain, Batiscan No 1",A-Basses-Terres (sols consolidés),46.472806,-72.265111,Foragaz Inc.,2002,2002
A004,"Bald Mountain, Batiscan No 2",A-Basses-Terres (sols consolidés),46.470306,-72.262056,Bald Mountain Oil Co.,1957,1957
A005,"Bald Mountain, Batiscan No 3",A-Basses-Terres (sols consolidés),46.477806,-72.272333,Robert McMaster & Sons,1957,1957
A006,"Bald Mountain, Batiscan No 4",A-Basses-Terres (sols consolidés),46.475583,-72.262889,Robert McMaster & Sons,1957,1957
A007,"Bald Mountain, Batiscan No 5",A-Basses-Terres (sols consolidés),46.472528,-72.268722,Robert McMaster & Sons,1957,1957
A008,"Bald Mountain, Berthierville No 1",A-Basses-Terres (sols consolidés),46.041417,-73.180139,Bald Mountain Oil Co.,1956,1957
A009,"Bald Mountain, Cap-Santé No 1",A-Basses-Terres (sols consolidés),46.678361,-71.783722,Logan Brothers Diamond Drilling Ltd.,1957,1957
A010,"Bald Mountain, Cap-Santé No 2",A-Basses-Terres (sols consolidés),46.696694,-71.787611,Antonio Dubé,1958,1958
A011,"Bald Mountain, La Pérade No 2",A-Basses-Terres (sols consolidés),46.608083,-72.207889,Antonio Dubé,1957,1957
A012,"Bald Mountain, Louiseville No 1",A-Basses-Terres (sols consolidés),46.231972,-72.941778,Logan Brothers Diamond Drilling Ltd.,1957,1957
A013,"Bald Mountain, Louiseville No 2",A-Basses-Terres (sols consolidés),46.231972,-72.941778,Bald Mountain Oil Co.,1957,1958
A014,"Bald Mountain, Saint-Roch No 1",A-Basses-Terres (sols consolidés),45.932806,-73.17875,Logan Brothers Diamond Drilling Ltd.,1957,1957
A015,"Bald Mountain, Portneuf No 1",A-Basses-Terres (sols consolidés),46.683083,-71.9215,Logan Brothers Diamond Drilling Ltd.,1957,1957
